# Para traducir los marcadores <FUL:ENDO> de los textos del juego.
# clave = el apellido en romaji en mayusculas, que es lo que
# el marcador lleva dentro. Lo genera
# herramientas/construir_marcadores.py (NOTAS O-98).
clave,tipo,completo,nombre,apellido
MASUKO RIRI,persona,Dilly Honeywell,Dilly,Honeywell
MASUKORARA,persona,Sally Honeywell,Sally,Honeywell
MASUKORIRI,persona,Dilly Honeywell,Dilly,Honeywell
MASUNAGA,persona,SOUTHERS,,
MASUNAGA AKEMI,persona,Phoenix Southers,,
MASUNAGAAKEMI,persona,Phoenix Southers,,
MASURA,persona,,,
MASURU,persona,ARNOLDS,,
MASURU KINICHI,persona,Buddy Arnolds,,
MASURUKINICHI,persona,Buddy Arnolds,,
MASUTANI,persona,TATTER,,
MASUTANI NAIRU,persona,Sable Tatter,,
MASUTANINAIRU,persona,Sable Tatter,,
MASUYAMA,persona,QUIRK,,
MASUYAMA DOKO,persona,Shirly Quirk,,
MASUYAMADOKO,persona,Shirly Quirk,,
MATANO,persona,SPINSTER,,
MATANO NEKOMI,persona,Kitty Spinster,,
MATANONEKOMI,persona,Kitty Spinster,,
MATATAGI,persona,Flashman,Flashman,Flashman
MATATAGI HAYATO,persona,Falco Flashman,Falco,Flashman
MATATAGI SHUN,persona,Chip Flashman,Chip,Flashman
MATATAGI YUTA,persona,Skip Flashman,Skip,Flashman
MATATAGIHAYATO,persona,Falco Flashman,Falco,Flashman
MATATAGISHUN,persona,Chip Flashman,Chip,Flashman
MATATAGIYUTA,persona,Skip Flashman,Skip,Flashman
MATHEUS,persona,,,
MATONES DEL PATIO,persona,Matones del patio,,
MATONESDELPATIO,persona,Matones del patio,,
MATORI,persona,OSHKER,,
MATORI YOSHIKO,persona,Marty Oshker,,
MATORIN,persona,Matrios.,,
MATORIYOSHIKO,persona,Marty Oshker,,
MATORO,persona,,,
MATORO JUKA,persona,Joaquine Downtown,,
MATOROJUKA,persona,Joaquine Downtown,,
MATSUBARA,persona,,,
MATSUBARA KOSUKE,persona,Ort Omaton,,
MATSUBARAKOSUKE,persona,Ort Omaton,,
MATSUBAYASHI,persona,,,
MATSUBAYASHI YU,persona,Joe Poker,,
MATSUBAYASHIYU,persona,Joe Poker,,
MATSUDA,persona,Pinegrove,Pinegrove,Pinegrove
MATSUDA MASATOSHI,persona,Ed Ripp,,
MATSUDA SHUSUKE,persona,Zayn Pinegrove,Zayn,Pinegrove
MATSUDAMASATOSHI,persona,Ed Ripp,,
MATSUDASHUSUKE,persona,Zayn Pinegrove,Zayn,Pinegrove
MATSUDO,persona,,,
MATSUDO SAIEN,persona,Slim Pointer,,
MATSUDO SHINABU,persona,Alex Gottlieb,,
MATSUDOSAIEN,persona,Slim Pointer,,
MATSUDOSHINABU,persona,Alex Gottlieb,,
MATSUE,persona,Machaela,,
MATSUISHI,persona,,,
MATSUISHI RINTARO,persona,Edward Headwood,,
MATSUISHIRINTARO,persona,Edward Headwood,,
MATSUKA,persona,,,
MATSUKA MOTOMICHI,persona,Fergat Silverpine,,
MATSUKAMOTOMICHI,persona,Fergat Silverpine,,
MATSUKAWA,persona,,,
MATSUKAWA NAGI,persona,Colm Dawdlin,,
MATSUKAWANAGI,persona,Colm Dawdlin,,
MATSUKAZE,persona,Sherwind,Sherwind,Sherwind
MATSUKAZE TENMA,persona,Arion Sherwind,Arion,Sherwind
MATSUKAZETENMA,persona,Arion Sherwind,Arion,Sherwind
MATSUKURA,persona,,,
MATSUKURA MASASHI,persona,Beau Hammock,,
MATSUKURAMASASHI,persona,Beau Hammock,,
MATSUMOTO,persona,FITSPIRE,,
MATSUMOTO HAYATO,persona,Sam Fitspire,,
MATSUMOTOHAYATO,persona,Sam Fitspire,,
MATSUMURA,persona,,,
MATSUMURA HIRONOBU,persona,Ord Ayshus,,
MATSUMURA KIE,persona,Anne Somnia,,
MATSUMURAHIRONOBU,persona,Ord Ayshus,,
MATSUMURAKIE,persona,Anne Somnia,,
MATSUNO,persona,,,
MATSUNO KUSUKE,persona,Maxwell Carson,Maxwell,Carson
MATSUNOKUSUKE,persona,Maxwell Carson,Maxwell,Carson
MATSUOKA,persona,,,
MATSUOKA SHINYA,persona,Kim Ono,,
MATSUOKASHINYA,persona,Kim Ono,,
MATSURI,persona,Carmine,Carmine,Carmine
MATSURI TORANO,persona,Farah Tigressa,,
MATSURIDA,persona,,,
MATSURIDA WASSHOI,persona,Dave Fate,,
MATSURIDAWASSHOI,persona,Dave Fate,,
MATSURITORANO,persona,Farah Tigressa,,
MATSUSHITA,persona,,,
MATSUSHITA RIKU,persona,Riku Matsushita,,
MATSUSHITA YUKI,persona,Olly Gammy,,
MATSUSHITARIKU,persona,Riku Matsushita,,
MATSUSHITAYUKI,persona,Olly Gammy,,
MATSUTAKE,persona,Ryehart,Ryehart,Ryehart
MATSUTAKE UMEYO,persona,Brandy Ryehart,Brandy,Ryehart
MATSUTAKEUMEYO,persona,Brandy Ryehart,Brandy,Ryehart
MATSUTANI,persona,,,
MATSUTANI KAZUHO,persona,Fawn Blossom,,
MATSUTANIKAZUHO,persona,Fawn Blossom,,
MATSUURA,persona,,,
MATSUURA YOSHITO,persona,Glenn Broth,,
MATSUURAYOSHITO,persona,Glenn Broth,,
MATSUZAKA,persona,STAPLES,,
MATSUZAKA KIYO,persona,Deirdre Staples,,
MATSUZAKAKIYO,persona,Deirdre Staples,,
MATSUZAKI,persona,,,
MATSUZAKI SUMIRE,persona,Adelaide Plainhart,,
MATSUZAKISUMIRE,persona,Adelaide Plainhart,,
MATT ANGLE,persona,Matt Fischer ,,
MATTANGLE,persona,Matt Fischer ,,
MATTEO,persona,Barberini,Barberini,Barberini
MATTEO DOMENICO,persona,Domenico Barberini,Domenico,Barberini
MATTEODOMENICO,persona,Domenico Barberini,Domenico,Barberini
MATÓN DEL PATIO A,persona,Matón del patio A,,
MATÓN DEL PATIO B,persona,Matón del patio B,,
MATÓN DEL PATIO C,persona,Matón del patio C,,
MATÓN LÁNGUIDO,persona,Matón lánguido,,
MATÓNDELPATIOA,persona,Matón del patio A,,
MATÓNDELPATIOB,persona,Matón del patio B,,
MATÓNDELPATIOC,persona,Matón del patio C,,
MATÓNLÁNGUIDO,persona,Matón lánguido,,
MAUPI,persona,LIADIKA,,
MAUSU,persona,DENT,,
MAUSU CHU,persona,Roland Dent,,
MAUSUCHU,persona,Roland Dent,,
MAX,persona,Max,,
MAXI,persona,Maximino,,
MAXI KUU,persona,Maximino Cruz,,
MAXIKUU,persona,Maximino Cruz,,
MAXIM,persona,Adrov,Adrov,Adrov
MAXIM ADROV,persona,Maxim Adrov,Maxim,Adrov
MAXIMADROV,persona,Maxim Adrov,Maxim,Adrov
MAXIMILIAN MIRATZ,persona,Maximilian Müller,,
MAXIMILIANMIRATZ,persona,Maximilian Müller,,
MAXTOR,persona,Lunde,Lunde,Lunde
MAXTOR LUNDE,persona,Maxtor Lunde,Maxtor,Lunde
MAXTORLUNDE,persona,Maxtor Lunde,Maxtor,Lunde
MAY,persona,Mei Chaptri,Mei,Chaptri
MAY CHAPATHI,persona,Mei Chaptri,Mei,Chaptri
MAY FAIRLY,persona,May Fayeux,,
MAYCHAPATHI,persona,Mei Chaptri,Mei,Chaptri
MAYFAIR,persona,May,,
MAYFAIRLY,persona,May Fayeux,,
MAYO,persona,BONACHEA,,
MAYOI,persona,,,
MAYOI TAMANOSUKE,persona,Focas Quayle,,
MAYOITAMANOSUKE,persona,Focas Quayle,,
MAYON CRESTE,persona,Mayon Creste,,
MAYONCRESTE,persona,Mayon Creste,,
MAYUMI,persona,Sitter,,
MAZE,persona,,,
MAZUME,persona,,,
MAZUME MASAHIKO,persona,Beau Painton,,
MAZUMEMASAHIKO,persona,Beau Painton,,
MAZUMI,persona,,,
MAZUMI HIROSHI,persona,Deimos Mars,,
MAZUMIHIROSHI,persona,Deimos Mars,,
MBULELO,persona,Booysen,,
MBULELO TSIMBA,persona,Moeneeb Booysen,,
MBULELOTSIMBA,persona,Moeneeb Booysen,,
MCKEANE,persona,MCKEANE,,
MCQUEEN,persona,MCQUEEN,,
MEARY,persona,,,
MEBUKI,persona,,,
MEBUKI WAKANA,persona,Livia Marsquall,,
MEBUKIWAKANA,persona,Livia Marsquall,,
MECHA ENDO,persona,Mecamark,,
MECHAENDO,persona,Mecamark,,
MEDAKA,persona,Hett,,
MEDAM,persona,,,
MEDEPPO,persona,,,
MEDICA,persona,MELAKA,,
MEDO,persona,YOUSEF,,
MEDO USA,persona,Ned Yousef,,
MEDOUSA,persona,Ned Yousef,,
MEDUSA,persona,Medusa,,
MEER,persona,Constance,,
MEER CAT,persona,Constance Durand,,
MEERCAT,persona,Constance Durand,,
MEG HONDA,persona,Meg Imai,,
MEGA,persona,,,
MEGA RODON,persona,Megal O'Donn,,
MEGANE,persona,Glass,Glass,Glass
MEGANE KAKERU,persona,William Glass,William,Glass
MEGANE KAZUTO,persona,Isaac Glass,,
MEGANEKAKERU,persona,William Glass,William,Glass
MEGANEKAZUTO,persona,Isaac Glass,,
MEGARODON,persona,Megal O'Donn,,
MEGAWA,persona,,,
MEGAWA AKIHI,persona,Alfred Meenan,,
MEGAWAAKIHI,persona,Alfred Meenan,,
MEGHONDA,persona,Meg Imai,,
MEGIJIMA,persona,MARROW,,
MEGIJIMA GOKUKI,persona,Tommo Marrow,,
MEGIJIMAGOKUKI,persona,Tommo Marrow,,
MEGUHON,persona,Meggi,,
MEGURO,persona,,,
MEGURO KAZUHISA,persona,Dai Hart,,
MEGUROKAZUHISA,persona,Dai Hart,,
MEGURU,persona,Tyke Wando,Tyke,Wando
MEIA,persona,,,
MEIDO,persona,Dunn,Dunn,Dunn
MEIDO KAZUOMI,persona,Noctis Dunn,Noctis,Dunn
MEIDO MEINA,persona,Meina Maiden,,
MEIDOKAZUOMI,persona,Noctis Dunn,Noctis,Dunn
MEIDOMEINA,persona,Meina Maiden,,
MEIGER,persona,Vitrum,,
MEIGER NATHAN,persona,Vic Vitrum,,
MEIGERNATHAN,persona,Vic Vitrum,,
MEIJI,persona,SPELLING,,
MEIJI MAKO,persona,Wanda Spelling,,
MEIJIMAKO,persona,Wanda Spelling,,
MEIKO,persona,Tempest,Tempest,Tempest
MEIKYO,persona,,,
MEIKYO TAKUMU,persona,Buck Teachey,,
MEIKYOTAKUMU,persona,Buck Teachey,,
MEINA,persona,Meina,,
MEINOHAMA,persona,,,
MEINOHAMA YOKI,persona,Mayen Harmet,,
MEINOHAMAYOKI,persona,Mayen Harmet,,
MEISEKI,persona,,,
MEISEKI SATORI,persona,Des Eving,,
MEISEKISATORI,persona,Des Eving,,
MEISSA,persona,,,
MEJI,persona,MAGEE,,
MEKIUS,persona,,,
MEKKY,persona,MICAH,,
MEL,persona,TENN,,
MELAPIL,persona,Secreta,,
MELAPIL SECRETA,persona,Merapir Secreta,,
MELAPILSECRETA,persona,Merapir Secreta,,
MELEV,persona,Malayev,Malayev,Malayev
MELON,persona,Dunnit,,
MELVILLE,persona,,,
MELÉNDEZ,persona,MELÉNDEZ,,
MEN PUKK,persona,Men Pukk,,
MENDES,persona,MENDES,,
MENDRIE,persona,Mendry,,
MENDRIE CHARBO,persona,Mendry Charbeau,,
MENDRIECHARBO,persona,Mendry Charbeau,,
MENJAKKO,persona,MENJIKKO,,
MENKAURA,persona,Menkaure,,
MENNY ARMAL,persona,Manny Armal,,
MENNYARMAL,persona,Manny Armal,,
MENOHA,persona,Menoh,,
MENOHA SEEWEED,persona,Menoh Seaweed,,
MENOHASEEWEED,persona,Menoh Seaweed,,
MENON,persona,MENANDROS,,
MENOS,persona,Menox,,
MENOS KESSLER,persona,Menox Kessler,,
MENOSKESSLER,persona,Menox Kessler,,
MENPUKK,persona,,,
MENUKI,persona,,,
MENUKI SAEKA,persona,Claire Voyant,,
MENUKI SEKI,persona,Cham Barra,,
MENUKISAEKA,persona,Claire Voyant,,
MENUKISEKI,persona,Cham Barra,,
MEPHISTO,persona,,,
MERA,persona,SUNDICE,,
MERA MIDORU,persona,Sly Sundice,,
MERAMIDORU,persona,Sly Sundice,,
MERFE,persona,,,
MERLIN,persona,MARLIN ,,
MERRY,persona,Maven,,
MESA,persona,Mesa,,
MESA BUTE,persona,Mesa Bute,,
MESABUTE,persona,Mesa Bute,,
MESH,persona,Scarlett,,
MESHIHIKO,persona,Hopkins Foamcrest,Hopkins,Foamcrest
MESHIYA,persona,,,
MESHIYA URAKI,persona,Murray Hollowpot,,
MESHIYAURAKI,persona,Murray Hollowpot,,
MESSAR,persona,Jasim,,
MESSAR JASIM,persona,Mansur Jasim,,
MESSARJASIM,persona,Mansur Jasim,,
METARIKU,persona,,,
METARIKU KOJI,persona,Krome Tallic,,
METARIKUKOJI,persona,Krome Tallic,,
METEO,persona,,,
METEO KIRAMEKI,persona,Asten Royds,,
METEOKIRAMEKI,persona,Asten Royds,,
METHA,persona,Metha,,
METHA NOL,persona,Metha Nol,,
METHANOL,persona,Metha Nol,,
METRON,persona,,,
METSUTO,persona,HARDY,,
METSUTO KABURU,persona,Helmut Hardy,,
METSUTOKABURU,persona,Helmut Hardy,,
METTO,persona,Helmut,,
MEZA,persona,,,
MEZA AITO,persona,Eton Messer,,
MEZAAITO,persona,Eton Messer,,
MI-CHAN,persona,Mimi,,
MIAI,persona,Walker,,
MIARIE,persona,,,
MIB,persona,,,
MIBU,persona,,,
MIBU HIROMASA,persona,Powers Flawless,,
MIBUHIROMASA,persona,Powers Flawless,,
MICCHI,persona,Mitchi,,
MICCHI OSHE,persona,Mitchi Osha,,
MICCHIOSHE,persona,Mitchi Osha,,
MICHEL,persona,Morland,,
MICHEL MORLAND,persona,Michel Morland,,
MICHELE,persona,Jax,,
MICHELE JAX,persona,Gabriel Jax,,
MICHELEJAX,persona,Gabriel Jax,,
MICHELMORLAND,persona,Michel Morland,,
MICHIBA,persona,,,
MICHIBA ATSUNORI,persona,Solomon Owle,,
MICHIBA RYOJI,persona,Marshall Heart,,
MICHIBAATSUNORI,persona,Solomon Owle,,
MICHIBARYOJI,persona,Marshall Heart,,
MICHIHARA,persona,GARMER,,
MICHIHARA KOYORI,persona,Aurie Garmer,,
MICHIHARAKOYORI,persona,Aurie Garmer,,
MICHIHATA,persona,,,
MICHIHATA UTAU,persona,Ulric Richmen,,
MICHIHATAUTAU,persona,Ulric Richmen,,
MICHIIE,persona,,,
MICHIIE KANJURO,persona,Al Kazam,,
MICHIIEKANJURO,persona,Al Kazam,,
MICHIKO,persona,Earth,,
MICHINARI,persona,Dassier,Dassier,Dassier
MICHINARI TATSUMI,persona,Maxime Dassier,Maxime,Dassier
MICHINARITATSUMI,persona,Maxime Dassier,Maxime,Dassier
MICHINO,persona,,,
MICHINO SUSUMU,persona,Jet Onyx,,
MICHINOSUSUMU,persona,Jet Onyx,,
MICHIO,persona,Rutheo Wheyston,Rutheo,Wheyston
MICHIRU,persona,Baggum,,
MICHISUJI,persona,PRIMA,,
MICHISUJI KUMANOBU,persona,Don Prima,,
MICHISUJIKUMANOBU,persona,Don Prima,,
MICHIYA,persona,Travis,Travis,Travis
MIDO,persona,Willow,Willow,Willow
MIDO REIKA,persona,Lily Willow,Lily,Willow
MIDOIN,persona,Deimos Fobos,Deimos,Fobos
MIDOIN MUNETADA,persona,Deimos Fobos,Deimos,Fobos
MIDOINMUNETADA,persona,Deimos Fobos,Deimos,Fobos
MIDOREIKA,persona,Lily Willow,Lily,Willow
MIDORI,persona,Mapleton,Mapleton,Mapleton
MIDORIGI,persona,VERDY,,
MIDORIGI TADAKI,persona,Truman Verdy,,
MIDORIGITADAKI,persona,Truman Verdy,,
MIDORIKAWA,persona,Greenway,Greenway,Greenway
MIDORIKAWA RYUJI,persona,Jordan Greenway,Jordan,Greenway
MIDORIKAWA SADAKA,persona,Olly Popman,,
MIDORIKAWARYUJI,persona,Jordan Greenway,Jordan,Greenway
MIDORIKAWASADAKA,persona,Olly Popman,,
MIDORIMAGE,persona,,,
MIDORIMAGE YASUYA,persona,Rio Shoring,,
MIDORIMAGEYASUYA,persona,Rio Shoring,,
MIDORIYA,persona,,,
MIDORIYA MUNEO,persona,Evander Greenvale,,
MIDORIYAMUNEO,persona,Evander Greenvale,,
MIDORU,persona,Sly,,
MIE,persona,,,
MIE TAISUKE,persona,Alan Carte,,
MIEMBRO CLUB DE MANGA,persona,Miembro club de manga,,
MIEMBRO CLUB DE NATACIÓN,persona,Miembro club de natación,,
MIEMBRO CLUB DE PRENSA,persona,Miembro club de prensa,,
MIEMBRO CLUB DE WATERPOLO,persona,Miembro club de waterpolo,,
MIEMBRO DE RAIMON,persona,Miembro de Raimon,,
MIEMBRO DEL CLUB DE ARTE,persona,Miembro del club de arte,,
MIEMBRO DEL CLUB DE ASTRONOMÍA,persona,Miembro del club de astronomía,,
MIEMBRO DEL CLUB DE BIOLOGÍA MARINA,persona,Miembro del club de biología marina,,
MIEMBRO DEL CLUB DE CULTURISMO,persona,Miembro del club de culturismo,,
MIEMBRO DEL CLUB DE IDOLS,persona,Miembro del club de idols,,
MIEMBRO DEL CLUB DE JUDO,persona,Miembro del club de judo,,
MIEMBRO DEL CLUB DE MANGA,persona,Miembro del club de manga,,
MIEMBRO DEL CLUB DE PERIODISMO,persona,Miembro del club de periodismo,,
MIEMBRO DEL CLUB DE SUMO,persona,Miembro del club de sumo,,
MIEMBRO DEL COMITÉ DE LIMPIEZA,persona,Miembro del comité de limpieza,,
MIEMBRO DEL COMITÉ DISCIPLINARIO,persona,Miembro del comité disciplinario,,
MIEMBROCLUBDEMANGA,persona,Miembro club de manga,,
MIEMBROCLUBDENATACIÓN,persona,Miembro club de natación,,
MIEMBROCLUBDEPRENSA,persona,Miembro club de prensa,,
MIEMBROCLUBDEWATERPOLO,persona,Miembro club de waterpolo,,
MIEMBRODELCLUBDEARTE,persona,Miembro del club de arte,,
MIEMBRODELCLUBDEASTRONOMÍA,persona,Miembro del club de astronomía,,
MIEMBRODELCLUBDEBIOLOGÍAMARINA,persona,Miembro del club de biología marina,,
MIEMBRODELCLUBDECULTURISMO,persona,Miembro del club de culturismo,,
MIEMBRODELCLUBDEIDOLS,persona,Miembro del club de idols,,
MIEMBRODELCLUBDEJUDO,persona,Miembro del club de judo,,
MIEMBRODELCLUBDEMANGA,persona,Miembro del club de manga,,
MIEMBRODELCLUBDEPERIODISMO,persona,Miembro del club de periodismo,,
MIEMBRODELCLUBDESUMO,persona,Miembro del club de sumo,,
MIEMBRODELCOMITÉDELIMPIEZA,persona,Miembro del comité de limpieza,,
MIEMBRODELCOMITÉDISCIPLINARIO,persona,Miembro del comité disciplinario,,
MIEMBRODERAIMON,persona,Miembro de Raimon,,
MIEMBROS DEL IVN,persona,Miembros del IVN,,
MIEMBROS DEL NAGUMOHARA,persona,Miembros del South Cirrus,,
MIEMBROSDELIVN,persona,Miembros del IVN,,
MIEMBROSDELNAGUMOHARA,persona,Miembros del South Cirrus,,
MIENAI,persona,,,
MIENAI KOTA,persona,Tez La,,
MIENAIKOTA,persona,Tez La,,
MIETAISUKE,persona,Alan Carte,,
MIETO,persona,,,
MIETO KENICHI,persona,Al Overa,,
MIETOKENICHI,persona,Al Overa,,
MIGHT,persona,MIGHT,,
MIGHTY,persona,Olympe,,
MIGLIA,persona,Mira,,
MIGLIA RUSTI,persona,Mira Lysander,,
MIGLIARUSTI,persona,Mira Lysander,,
MIGUEL,persona,,,
MIGUEL ARON,persona,Michaël Aron,,
MIGUELARON,persona,Michaël Aron,,
MIHA,persona,DROBIUM,,
MIHA NAO,persona,Dan Drobium,,
MIHANAO,persona,Dan Drobium,,
MIHARA,persona,DAPPERMANN,,
MIHARA NORIYUKI,persona,Lawton Dappermann,,
MIHARANORIYUKI,persona,Lawton Dappermann,,
MIHISHI,persona,MONDO,,
MIHISHI DAIYA,persona,Dai Mondo,,
MIHISHIDAIYA,persona,Dai Mondo,,
MIIRO,persona,Milo,,
MIIRO AGRIAS,persona,Milo Agrias,,
MIIROAGRIAS,persona,Milo Agrias,,
MIKA,persona,,,
MIKADO,persona,,,
MIKADO ANNA,persona,Regina Mulgrave,,
MIKADO HARUMA,persona,Rex Remington,,
MIKADOANNA,persona,Regina Mulgrave,,
MIKADOHARUMA,persona,Rex Remington,,
MIKAGAMI,persona,,,
MIKAGAMI SEREN,persona,Lilia Charmont,,
MIKAGAMISEREN,persona,Lilia Charmont,,
MIKAN,persona,Orange,,
MIKANA,persona,Starla Thorn,Starla,Thorn
MIKANA ROCK,persona,STARLA THORN,,
MIKANAROCK,persona,STARLA THORN,,
MIKARA,persona,Datasby,,
MIKARA DETASABY,persona,Mikala Datasby,,
MIKARADETASABY,persona,Mikala Datasby,,
MIKAWA,persona,,,
MIKAWA MAREMI,persona,Curia Caldwell,,
MIKAWAMAREMI,persona,Curia Caldwell,,
MIKAWAYA,persona,SANDSTONE,,
MIKAWAYA SABURO,persona,Mitch Sandstone,,
MIKAWAYASABURO,persona,Mitch Sandstone,,
MIKAZUCHI,persona,,,
MIKAZUCHI JINYA,persona,Kazimir Stormblade,,
MIKAZUCHIJINYA,persona,Kazimir Stormblade,,
MIKE,persona,Tez,,
MIKE VIKINGS,persona,Vic Longboat,,
MIKEL,persona,Pereira,,
MIKEL PEREIRO,persona,Miguel Pereira,,
MIKELPEREIRO,persona,Miguel Pereira,,
MIKEVIKINGS,persona,Vic Longboat,,
MIKEY,persona,Richards,,
MIKEY RICHARDS,persona,Mikey Richards,,
MIKEYRICHARDS,persona,Mikey Richards,,
MIKI,persona,,,
MIKI SHUNSUKE,persona,Dylan Swan,,
MIKIJIRO,persona,Woodward,,
MIKIMARU,persona,Mikimaru,,
MIKIO,persona,Shutt,,
MIKISHUNSUKE,persona,Dylan Swan,,
MIKITA,persona,,,
MIKITA SHIGETO,persona,Des Ainer,,
MIKITASHIGETO,persona,Des Ainer,,
MIKIYA,persona,,,
MIKIYA TAKEFUMI,persona,Kurtz Armishaw,,
MIKIYATAKEFUMI,persona,Kurtz Armishaw,,
MIKO,persona,Helena,,
MIKOSHIBA,persona,,,
MIKOSHIBA YUNO,persona,Ava Ehrenreich,,
MIKOSHIBAYUNO,persona,Ava Ehrenreich,,
MIKOTO,persona,PARIS,,
MIKOTO HITOMI,persona,Dreama Paris,,
MIKOTOHITOMI,persona,Dreama Paris,,
MIKUNI,persona,,,
MIKUNI SATOSHI,persona,Lou Beigh,,
MIKUNISATOSHI,persona,Lou Beigh,,
MIKURABA,persona,LOCKHARD,,
MIKURABA REAL,persona,Reamond Lockhard,,
MIKURABAREAL,persona,Reamond Lockhard,,
MIKURI,persona,Hope,,
MIKURIYA,persona,,,
MIKURIYA JIROMARU,persona,Jerome Knight,,
MIKURIYAJIROMARU,persona,Jerome Knight,,
MILES EUCLID,persona,Miles Euclid,,
MILESEUCLID,persona,Miles Euclid,,
MILEY,persona,MIRAE,,
MILITARY,persona,Panzer,,
MILK,persona,Cheesem.,,
MIMAE,persona,,,
MIMAE SATOMI,persona,Abby de Valera,,
MIMAESATOMI,persona,Abby de Valera,,
MIMASU,persona,STUMPER,,
MIMASU KEITO,persona,Rebus Stumper,,
MIMASUKEITO,persona,Rebus Stumper,,
MIMI,persona,Jacqueline,,
MIMINO,persona,HEEMIAN,,
MIMINO RINKO,persona,Boe Heemian,,
MIMINORINKO,persona,Boe Heemian,,
MIMIZUKI,persona,,,
MIMIZUKI KOJIRO,persona,Tarvon Runnel,,
MIMIZUKIKOJIRO,persona,Tarvon Runnel,,
MIMORI,persona,Cheery,,
MIMURA,persona,,,
MIMURA TAKANE,persona,Marc O'Lepsy,,
MIMURATAKANE,persona,Marc O'Lepsy,,
MIN,persona,TONG,,
MIN YINQI,persona,Sammo Tong,,
MINAHO,persona,Sharpe,Sharpe,Sharpe
MINAHO KAZUTO,persona,Keenan Sharpe,Keenan,Sharpe
MINAHO MITSUYO,persona,Miriam Sharpe,,
MINAHO SAKYO,persona,Seraph Sharpe,,
MINAHOKAZUTO,persona,Keenan Sharpe,Keenan,Sharpe
MINAHOMITSUYO,persona,Miriam Sharpe,,
MINAHOSAKYO,persona,Seraph Sharpe,,
MINAKOI,persona,LOVEJOY,,
MINAKOI RIA,persona,Valentine Lovejoy,,
MINAKOIRIA,persona,Valentine Lovejoy,,
MINAMI,persona,,,
MINAMI JUJI,persona,Starbuck Rogers,,
MINAMI URIERU,persona,Gord Squash,,
MINAMIJUJI,persona,Starbuck Rogers,,
MINAMIO,persona,,,
MINAMIO SHUTO,persona,Zackory Wart,,
MINAMIOSHUTO,persona,Zackory Wart,,
MINAMISAWA,persona,McArthur,McArthur,McArthur
MINAMISAWA ATSUSHI,persona,Doug McArthur,Doug,McArthur
MINAMISAWAATSUSHI,persona,Doug McArthur,Doug,McArthur
MINAMISHIMA,persona,,,
MINAMISHIMA KEN,persona,Cameron Hameha,,
MINAMISHIMAKEN,persona,Cameron Hameha,,
MINAMIURIERU,persona,Gord Squash,,
MINAMOTO,persona,,,
MINAMOTO YOSHIO,persona,Parker Leaper,,
MINAMOTOYOSHIO,persona,Parker Leaper,,
MINEL,persona,Ava,Ava,Ava
MINEL EIVA,persona,Globulus Ava,Globulus,Ava
MINELEIVA,persona,Globulus Ava,Globulus,Ava
MINENE,persona,,,
MINIMIZ,persona,MINIMIZ,,
MINO,persona,MOTH,,
MINO MUHIRO,persona,Casey Moth,,
MINOBE,persona,,,
MINOBE TAMOTSU,persona,Sid Safehouse,,
MINOBETAMOTSU,persona,Sid Safehouse,,
MINOKKA,persona,Minack,,
MINOKKA SARGO,persona,Minack Sargo,,
MINOKKASARGO,persona,Minack Sargo,,
MINOMUHIRO,persona,Casey Moth,,
MINORI,persona,Vessal,Vessal,Vessal
MINOSHIMA,persona,,,
MINOSHIMA TOSHIYA,persona,Meriwether Beaumont,,
MINOSHIMATOSHIYA,persona,Meriwether Beaumont,,
MINQI,persona,Sammo,,
MINSO,persona,Son,,
MINTAKA,persona,,,
MINTO,persona,Shuttlebrook,Shuttlebrook,Shuttlebrook
MINWO,persona,Seok Tel-bull,Seok,Tel-bull
MINYINQI,persona,Sammo Tong,,
MIO,persona,Amy,,
MION,persona,Louise,,
MIORI,persona,Wendy,,
MIRA,persona,,,
MIRA JUN,persona,Sammy Salter,,
MIRAGE,persona,Sammy,,
MIRAJUN,persona,Sammy Salter,,
MIRANO,persona,,,
MIRANO KANTSUO,persona,Tim Roubadour,,
MIRANOKANTSUO,persona,Tim Roubadour,,
MIRATZ,persona,MÜLLER,,
MIRIKA,persona,Rainwalker,Rainwalker,Rainwalker
MIRIN,persona,Mirina Mackrell,Mirina,Mackrell
MIROKU,persona,,,
MIROKU AKIRA,persona,Harly Profett,,
MIROKUAKIRA,persona,Harly Profett,,
MIRU,persona,Beacon,,
MISATO,persona,,,
MISATO HIROMI,persona,Jenral Gaim,,
MISATO IRITA,persona,Miles Panzer,,
MISATOHIROMI,persona,Jenral Gaim,,
MISATOIRITA,persona,Miles Panzer,,
MISE,persona,MAVEN,,
MISE MERII,persona,Elinor Maven,,
MISEMACHI,persona,JONES,,
MISEMACHI YASUNORI,persona,Kippy Jones,,
MISEMACHIYASUNORI,persona,Kippy Jones,,
MISEMERII,persona,Elinor Maven,,
MISHIMA,persona,TRIUMVIR,,
MISONO,persona,,,
MISONO RENA,persona,Lenora Graves,,
MISONORENA,persona,Lenora Graves,,
MISTA,persona,,,
MISTER K,persona,,,
MISTERK,persona,,,
MISTRE,persona,Callous,,
MISTRENE CALLUS,persona,Mystral Callous,,
MISTRENECALLUS,persona,Mystral Callous,,
MISTY,persona,,,
MISTY AUL,persona,Misty Aul,,
MISTYAUL,persona,Misty Aul,,
MITAMA,persona,,,
MITAMA TAKEO,persona,Pat Shinko,,
MITAMATAKEO,persona,Pat Shinko,,
MITERU,persona,Lisa,,
MITO,persona,,,
